Nom scientifique;Nom français;Milieu;Type;N° fiches marais;Codes fiches dunes;ID Phytoscope;URL 1;URL 2;URL 3;URL 4;URL 5;URL 6;URL 7;Origine des URL;Correspondance xlsx dunes;Nom dans le xlsx;Illustration (xlsx);Priorité (xlsx)
Bryonia dioica;Bryone dioïque;Dunes;Flore vasculaire;;2.3, 2.5a;;https://api.tela-botanica.org/img:000162236L.jpg;https://api.tela-botanica.org/img:002490738CRS.jpg;https://api.tela-botanica.org/img:000021179CRS.jpg;;;;;;absent du xlsx;;;
Bupleurum baldense subsp. baldense;Buplèvre du mont Baldo;Dunes;Flore vasculaire;;2.1a, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000242619L.jpg;https://api.tela-botanica.org/img:002198923CRS.jpg;https://api.tela-botanica.org/img:000018855CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Bupleurum baldense;à illustrer;2 - Complémentaire
Cakile maritima subsp. maritima;Roquette de mer;Dunes;Flore vasculaire;;1.1a, 1.1c, 1.2a, 1.2b, 1.3a;;https://api.tela-botanica.org/img:000048976L.jpg;https://api.tela-botanica.org/img:000036818CRS.jpg;https://api.tela-botanica.org/img:000069187L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Cakile maritima;oui;2 - Complémentaire
Calystegia sepium;Liseron des haies;Prés salés;Flore vasculaire;14;;1209;https://api.tela-botanica.org/img:000188608L.jpg;https://api.tela-botanica.org/img:000180214L.jpg;https://api.tela-botanica.org/img:002228938O.jpg;https://api.tela-botanica.org/img:000057272L.jpg;https://api.tela-botanica.org/img:000180215L.jpg;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes";exacte;;oui;3 - Contexte
Calystegia soldanella;Liseron des dunes;Dunes;Flore vasculaire;;1.1a, 1.1b, 1.1c, 1.2a, 1.2b, 1.3a, 1.3b, 2.1b;;https://api.tela-botanica.org/img:000073832L.jpg;https://api.tela-botanica.org/img:000261562CRS.jpg;https://api.tela-botanica.org/img:000045742CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;oui;1 - Essentiel
Cardamine hirsuta;Cardamine hérissée;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:002118982L.jpg;https://api.tela-botanica.org/img:000032848L.jpg;https://api.tela-botanica.org/img:000017607CRS.jpg;https://api.tela-botanica.org/img:000055524CRS.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;à illustrer;3 - Contexte
Cardaria draba;Passerage drave;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000105340L.jpg;https://api.tela-botanica.org/img:000105487L.jpg;https://api.tela-botanica.org/img:000069472L.jpg;;;;;;absent du xlsx;;;
Carduus nutans subsp. nutans;Chardon penché;Dunes;Flore vasculaire;;2.1i;;https://api.tela-botanica.org/img:000078109L.jpg;https://api.tela-botanica.org/img:000167487L.jpg;https://api.tela-botanica.org/img:002340239CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Carduus nutans;à illustrer;3 - Contexte
Carduus tenuiflorus;Chardon à petits capitules;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017697L.jpg;https://api.tela-botanica.org/img:000019429CRS.jpg;https://api.tela-botanica.org/img:000019524CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Carex arenaria;Laîche des sables;Dunes;Flore vasculaire;;1.3a, 1.3b, 2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.1h, 2.1i, 2.2a, 2.2b, 2.5d, 2.6b;;https://api.tela-botanica.org/img:000083981L.jpg;https://api.tela-botanica.org/img:000083978L.jpg;https://api.tela-botanica.org/img:000331939L.jpg;https://api.tela-botanica.org/img:000167789CRS.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;oui;1 - Essentiel
Carex distans;Laîche distante;Prés salés;Flore vasculaire;14;;1365;https://api.tela-botanica.org/img:000080153L.jpg;https://api.tela-botanica.org/img:000057308L.jpg;https://api.tela-botanica.org/img:000021282O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Carex extensa;Laîche étirée;Prés salés;Flore vasculaire;14;;1377;https://api.tela-botanica.org/img:000015481L.jpg;https://api.tela-botanica.org/img:000016202L.jpg;https://api.tela-botanica.org/img:000045790L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Carex flacca subsp. flacca;Laîche glauque;Dunes;Flore vasculaire;;2.2a;;https://api.tela-botanica.org/img:000258463CRS.jpg;https://api.tela-botanica.org/img:002477835CRS.jpg;https://api.tela-botanica.org/img:002477836CRS.jpg;;;;;;absent du xlsx;;;
Catapodium marinum;Catapode marin;Prés salés;Flore vasculaire;15;;2157;https://api.tela-botanica.org/img:000272321L.jpg;https://api.tela-botanica.org/img:000116225L.jpg;https://api.tela-botanica.org/img:002433528L.jpg;https://api.tela-botanica.org/img:002342753L.jpg;https://api.tela-botanica.org/img:000056451CRS.jpg;https://api.tela-botanica.org/img:002433528CRS.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;à illustrer;3 - Contexte
Catapodium rigidum;Catapode rigide;Les deux;Flore vasculaire;13, 15;2.1a, 2.1c, 2.1g, 2.1h, 2.6b;2159;https://api.tela-botanica.org/img:000185536L.jpg;https://api.tela-botanica.org/img:000009531L.jpg;https://api.tela-botanica.org/img:000032653L.jpg;https://api.tela-botanica.org/img:000238478L.jpg;https://api.tela-botanica.org/img:000185536CRX2S.jpg;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes";exacte;;à illustrer;3 - Contexte
Cerastium diffusum subsp. diffusum;Céraiste à quatre étamines;Dunes;Flore vasculaire;;1.3b, 2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.1h, 2.2b, 2.6b;;https://api.tela-botanica.org/img:000020827L.jpg;https://api.tela-botanica.org/img:000020799L.jpg;https://api.tela-botanica.org/img:002464785CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Cerastium diffusum;à illustrer;2 - Complémentaire
Cerastium semidecandrum subsp. semidecandrum;Céraiste à cinq étamines;Dunes;Flore vasculaire;;2.1c, 2.1d;;https://api.tela-botanica.org/img:000668195L.jpg;https://api.tela-botanica.org/img:000668198L.jpg;https://api.tela-botanica.org/img:000117404L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Cerastium semidecandrum;oui;2 - Complémentaire
Cirsium arvense;Cirse des champs;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000114330L.jpg;https://api.tela-botanica.org/img:002213100CRS.jpg;https://api.tela-botanica.org/img:000060461CRS.jpg;;;;;;absent du xlsx;;;
Cochlearia anglica;Cochléaire anglaise;Prés salés;Flore vasculaire;11, 12, 13;;1797;https://api.tela-botanica.org/img:000314473L.jpg;;;;;;;1=CSV marais;absent du xlsx;;;
