Nom scientifique;Nom français;Milieu;Type;N° fiches marais;Codes fiches dunes;ID Phytoscope;URL 1;URL 2;URL 3;URL 4;URL 5;URL 6;URL 7;Origine des URL;Correspondance xlsx dunes;Nom dans le xlsx;Illustration (xlsx);Priorité (xlsx)
Poa pratensis;Pâturin des prés;Dunes;Flore vasculaire;;2.2a, 2.2b;;;https://api.tela-botanica.org/img:000251929CRS.jpg;https://api.tela-botanica.org/img:000023910CRS.jpg;;;;;;exacte;;à illustrer;3 - Contexte
Polygonum maritimum;Renouée maritime;Dunes;Flore vasculaire;;1.1a, 1.1b;;;https://api.tela-botanica.org/img:002453575CRS.jpg;https://api.tela-botanica.org/img:000016212CRS.jpg;https://api.tela-botanica.org/img:000048798CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Polypogon monspeliensis;Polypogon de Montpellier;Prés salés;Flore vasculaire;19;;5328;https://api.tela-botanica.org/img:000058350O.jpg;https://api.tela-botanica.org/img:000221853O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Potentilla reptans;Potentille rampante;Dunes;Flore vasculaire;;2.2a, 2.2b, 2.5a, 2.5d;;;https://api.tela-botanica.org/img:000059248L.jpg;https://api.tela-botanica.org/img:000046592CRS.jpg;https://api.tela-botanica.org/img:002570103CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Prunus spinosa;Prunellier;Dunes;Flore vasculaire;;2.2a, 2.2b, 2.3;;https://api.tela-botanica.org/img:003477826L.jpg;https://api.tela-botanica.org/img:003477827L.jpg;https://api.tela-botanica.org/img:003477828L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Pseudoscleropodium purum;Pseudoscleropodium purum (mousse);Dunes;Bryophyte / lichen;;2.1f;;;;;;;;;;exacte;;à illustrer;3 - Contexte
Ptychostomum compactum;Ptychostomum compactum (mousse);Dunes;Bryophyte / lichen;;2.6b;;;;;;;;;;exacte;;à illustrer;3 - Contexte
Ptychostomum imbricatulum;Ptychostomum imbricatulum (mousse);Dunes;Bryophyte / lichen;;2.1g;;;;;;;;;;exacte;;à illustrer;3 - Contexte
Puccinellia maritima;Puccinellie maritime;Prés salés;Flore vasculaire;2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 19;;5501;https://api.tela-botanica.org/img:002185414L.jpg;https://api.tela-botanica.org/img:000080219O.jpg;https://api.tela-botanica.org/img:002185417L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Pulicaria dysenterica;Pulicaire dysentérique;Prés salés;Flore vasculaire;14;;5503;https://api.tela-botanica.org/img:000183953L.jpg;https://api.tela-botanica.org/img:003483641O.jpg;https://api.tela-botanica.org/img:000019602O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Ranunculus bulbosus subsp. bulbosus;Renoncule bulbeuse;Dunes;Flore vasculaire;;2.1d, 2.1f, 2.2a, 2.2b, 2.5b, 2.5c;;;https://api.tela-botanica.org/img:002352181CRS.jpg;https://api.tela-botanica.org/img:002352182CRS.jpg;;;;;;espèce seule (rang différent);Ranunculus bulbosus;à illustrer;3 - Contexte
Raphanus raphanistrum;Radis sauvage;Dunes;Flore vasculaire;;2.5c;;;https://api.tela-botanica.org/img:000078419L.jpg;https://api.tela-botanica.org/img:000294999CRS.jpg;https://api.tela-botanica.org/img:000054671CRS.jpg;https://api.tela-botanica.org/img:000045039CRS.jpg;;;;exacte;;à illustrer;3 - Contexte
Reseda luteola;Réséda des teinturiers;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000111948CRS.jpg;https://api.tela-botanica.org/img:002333327CRS.jpg;https://api.tela-botanica.org/img:002325553CRS.jpg;;;;;absent du xlsx;;;
Rosa pimpinellifolia;Rosier pimprenelle;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1d, 2.1f, 2.2a, 2.2b, 2.3;;;https://api.tela-botanica.org/img:000045254CRS.jpg;https://api.tela-botanica.org/img:000024637CRS.jpg;https://api.tela-botanica.org/img:000250633L.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Rubus sp.;Ronce (non déterminée);Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:003465993L.jpg;https://api.tela-botanica.org/img:003465992L.jpg;https://api.tela-botanica.org/img:003411795L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Rumex crispus;Patience crépue;Dunes;Flore vasculaire;;2.5b, 2.5d;;https://api.tela-botanica.org/img:003432605L.jpg;https://api.tela-botanica.org/img:003432606L.jpg;https://api.tela-botanica.org/img:003432607L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Rumex obtusifolius;Patience à feuilles obtuses;Dunes;Flore vasculaire;;2.5b;;https://api.tela-botanica.org/img:003504442L.jpg;https://api.tela-botanica.org/img:003504443L.jpg;https://api.tela-botanica.org/img:003444053L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Sagina apetala;Sagine apétale;Dunes;Flore vasculaire;;2.1g, 2.6b;;;https://api.tela-botanica.org/img:000134332L.jpg;https://api.tela-botanica.org/img:000270830L.jpg;;;;;;exacte;;à illustrer;2 - Complémentaire
Sagina maritima;Sagine maritime;Prés salés;Flore vasculaire;13, 15;;6033;https://api.tela-botanica.org/img:000020825O.jpg;;;;;;;1=CSV marais;absent du xlsx;;;
Salicornia europaea s.l.;Salicorne, groupe europaea;Prés salés;Flore vasculaire;3, 4, 9;;6050;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_groupe_europaea1-mc.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_groupe_europaea3-mc.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Salicornia perennis;Salicorne vivace;Prés salés;Flore vasculaire;2, 3, 4, 5, 6, 7, 8, 12, 17;;683;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis2-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis3-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis1-mc.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Salicornia procumbens s.l.;Salicorne, groupe procumbens;Prés salés;Flore vasculaire;2, 3, 4, 9;;6052;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_procumbens1-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_procumbens2-mc.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Salicornia pruinosa;Salicorne ligneuse;Prés salés;Flore vasculaire;4, 7, 8, 13;;6139;;;;;;;;;absent du xlsx;;;
Salicornia sp.;Salicorne indéterminée;Prés salés;Flore vasculaire;6, 12, 13, 14;;;;;;;;;;;absent du xlsx;;;
Salsola kali subsp. kali;Soude épineuse;Dunes;Flore vasculaire;;1.1a, 1.1b;;;https://api.tela-botanica.org/img:000040040CRS.jpg;https://api.tela-botanica.org/img:000040039CRS.jpg;https://api.tela-botanica.org/img:000087910CRS.jpg;;;;;espèce seule (rang différent);Salsola kali;à illustrer;3 - Contexte
Salvia verbenaca;Sauge verveine;Dunes;Flore vasculaire;;2.5c;;;https://api.tela-botanica.org/img:000209930L.jpg;https://api.tela-botanica.org/img:002408588CRS.jpg;https://api.tela-botanica.org/img:000046175CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Sambucus nigra;Sureau noir;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:003523061L.jpg;https://api.tela-botanica.org/img:003523062L.jpg;https://api.tela-botanica.org/img:003523063L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Samolus valerandi;Samole de Valerand;Prés salés;Flore vasculaire;14;;6118;https://api.tela-botanica.org/img:000191135L.jpg;https://api.tela-botanica.org/img:000024072O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Sanguisorba minor subsp. minor;Petite pimprenelle;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.2a, 2.2b;;;https://api.tela-botanica.org/img:000017569CRS.jpg;https://api.tela-botanica.org/img:000010743CRS.jpg;https://api.tela-botanica.org/img:000017570L.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Saxifraga tridactylites;Saxifrage à trois doigts;Dunes;Flore vasculaire;;2.1a, 2.1c, 2.1d, 2.1f, 2.1g, 2.6b;;https://api.tela-botanica.org/img:003476912L.jpg;https://api.tela-botanica.org/img:003426024L.jpg;https://api.tela-botanica.org/img:003413710L.jpg;;;;;1=Tela Botanica (API DEL);exacte;;à illustrer;2 - Complémentaire
Schoenus nigricans;Choin noirâtre;Prés salés;Flore vasculaire;14;;6250;https://api.tela-botanica.org/img:000076837L.jpg;https://api.tela-botanica.org/img:001929788O.jpg;https://api.tela-botanica.org/img:000065472O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;3 - Contexte
Scirpus maritimus;Scirpe maritime;Prés salés;Flore vasculaire;4, 11, 14, 17, 19;;6277;https://api.tela-botanica.org/img:000293214O.jpg;https://api.tela-botanica.org/img:000089345O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Sedum acre;Orpin âcre;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.1h;;;https://api.tela-botanica.org/img:000068158CRS.jpg;https://api.tela-botanica.org/img:001342805L.jpg;https://api.tela-botanica.org/img:000156140L.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Sedum anglicum;Orpin d'Angleterre;Prés salés;Flore vasculaire;13;;6359;https://api.tela-botanica.org/img:000079608O.jpg;https://api.tela-botanica.org/img:000021174O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Senecio jacobaea;Séneçon jacobée;Dunes;Flore vasculaire;;1.3a, 2.1d, 2.1f, 2.2a, 2.2b, 2.3;;;https://api.tela-botanica.org/img:002573262CRS.jpg;https://api.tela-botanica.org/img:000049905CRS.jpg;https://api.tela-botanica.org/img:000017497CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Senecio vulgaris;Séneçon commun;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1f, 2.1g, 2.1h, 2.2b;;;https://api.tela-botanica.org/img:000220875L.jpg;https://api.tela-botanica.org/img:002756001CRS.jpg;https://api.tela-botanica.org/img:000017879CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Sherardia arvensis;Rubéole des champs;Dunes;Flore vasculaire;;2.1a, 2.2b, 2.5c, 2.6b;;;https://api.tela-botanica.org/img:000046649CRS.jpg;https://api.tela-botanica.org/img:000010723CRS.jpg;https://api.tela-botanica.org/img:000094686L.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Silene latifolia subsp. alba;Compagnon blanc;Dunes;Flore vasculaire;;2.5a, 2.5b, 2.5c;;;https://api.tela-botanica.org/img:000017418L.jpg;https://api.tela-botanica.org/img:002956314CRS.jpg;https://api.tela-botanica.org/img:002956315CRS.jpg;;;;;espèce seule (rang différent);Silene latifolia;à illustrer;3 - Contexte
Silene otites subsp. otites;Silène à oreillettes;Dunes;Flore vasculaire;;2.1c;;https://api.tela-botanica.org/img:000209180L.jpg;;;;;;;1=Tela Botanica (API DEL);exacte;;à illustrer;1 - Essentiel
Silene vulgaris subsp. maritima;Silène maritime;Prés salés;Flore vasculaire;13;;6611;https://api.tela-botanica.org/img:000090733L.jpg;https://api.tela-botanica.org/img:000014275O.jpg;https://api.tela-botanica.org/img:000054564O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";espèce seule (rang différent);Silene vulgaris;à illustrer;3 - Contexte
Sisymbrium officinale;Herbe aux chantres;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000220861L.jpg;https://api.tela-botanica.org/img:000020415CRS.jpg;https://api.tela-botanica.org/img:000111600L.jpg;;;;;absent du xlsx;;;
Smyrnium olusatrum;Maceron;Dunes;Flore vasculaire;;2.5d;;;https://api.tela-botanica.org/img:000017938L.jpg;https://api.tela-botanica.org/img:000017726L.jpg;https://api.tela-botanica.org/img:000021511CRS.jpg;;;;;absent du xlsx;;;
Solanum dulcamara;Morelle douce-amère;Dunes;Flore vasculaire;;2.3, 2.5a;;;https://api.tela-botanica.org/img:000092241L.jpg;https://api.tela-botanica.org/img:000241304L.jpg;;;;;;exacte;;à illustrer;3 - Contexte
Solanum nigrum;Morelle noire;Dunes;Flore vasculaire;;2.1i;;;https://api.tela-botanica.org/img:000114352L.jpg;https://api.tela-botanica.org/img:000091575L.jpg;https://api.tela-botanica.org/img:000092232L.jpg;;;;;exacte;;à illustrer;3 - Contexte
Sonchus asper;Laiteron épineux;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000017509CRS.jpg;https://api.tela-botanica.org/img:000043052CRS.jpg;https://api.tela-botanica.org/img:000019453CRS.jpg;;;;;absent du xlsx;;;
Sonchus oleraceus;Laiteron potager;Les deux;Flore vasculaire;17;1.3a;6688;https://api.tela-botanica.org/img:000017510O.jpg;https://api.tela-botanica.org/img:000042729O.jpg;https://api.tela-botanica.org/img:000045459O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;3 - Contexte
Spartina maritima;Spartine maritime;Prés salés;Flore vasculaire;2, 3, 6;;6712;https://api.tela-botanica.org/img:000089400L.jpg;https://api.tela-botanica.org/img:000063794O.jpg;https://api.tela-botanica.org/img:000063792CRS.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Spartina x townsendii var. anglica;Spartine d'Angleterre;Prés salés;Flore vasculaire;3, 6, 7;;6714;https://api.tela-botanica.org/img:002322664O.jpg;https://api.tela-botanica.org/img:002537317O.jpg;https://api.tela-botanica.org/img:002537318O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Spergularia marina;Spergulaire marine;Prés salés;Flore vasculaire;15;;6724;https://api.tela-botanica.org/img:000084718O.jpg;https://api.tela-botanica.org/img:000181435O.jpg;https://api.tela-botanica.org/img:000788617L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Spergularia media;Spergulaire intermédiaire;Prés salés;Flore vasculaire;3, 4, 5, 7, 9, 12, 13, 14;;6726;https://api.tela-botanica.org/img:000263958L.jpg;https://api.tela-botanica.org/img:000055117O.jpg;https://api.tela-botanica.org/img:000185079L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Stellaria media subsp. media;Mouron des oiseaux;Dunes;Flore vasculaire;;2.5b;;;https://api.tela-botanica.org/img:000730721L.jpg;https://api.tela-botanica.org/img:002515582CRS.jpg;https://api.tela-botanica.org/img:002276765L.jpg;;;;;absent du xlsx;;;
Suaeda maritima;Soude maritime;Prés salés;Flore vasculaire;3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15;;6802;https://api.tela-botanica.org/img:000058665O.jpg;https://api.tela-botanica.org/img:000047941O.jpg;https://api.tela-botanica.org/img:002335325L.jpg;https://api.tela-botanica.org/img:000044666O.jpg;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=CSV marais";absent du xlsx;;;
Suaeda vera;Soude ligneuse;Prés salés;Flore vasculaire;4, 5, 8, 13;;6806;https://api.tela-botanica.org/img:000346280O.jpg;https://api.tela-botanica.org/img:000044665O.jpg;https://api.tela-botanica.org/img:000044664O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Syntrichia ruralis subsp. ruraliformis;Syntrichia ruralis (mousse des dunes saupoudrées);Dunes;Bryophyte / lichen;;2.1b, 2.1c, 2.1d, 2.1h;;;;;;;;;;exacte;;à illustrer;1 - Essentiel
Taraxacum gr. erythrospermum;Pissenlit à graines rouges (groupe);Dunes;Flore vasculaire;;2.1d, 2.1f, 2.2a, 2.2b;;https://api.tela-botanica.org/img:003515016L.jpg;https://api.tela-botanica.org/img:003515017L.jpg;https://api.tela-botanica.org/img:003515014L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Thelypteris palustris;Théliptéris des marais;Prés salés;Flore vasculaire;14;;6998;https://api.tela-botanica.org/img:002332940O.jpg;https://api.tela-botanica.org/img:000063530O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Thesium humifusum;Thésium couché;Dunes;Flore vasculaire;;2.1d, 2.1e;;;https://api.tela-botanica.org/img:000017836CRS.jpg;https://api.tela-botanica.org/img:000046670CRS.jpg;https://api.tela-botanica.org/img:000793815L.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Thymus drucei;Thym de Bretagne;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.6b;;;https://api.tela-botanica.org/img:000793405L.jpg;https://api.tela-botanica.org/img:000793404CRS.jpg;https://api.tela-botanica.org/img:000022918CRS.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Tortella flavovirens;Tortella flavovirens (mousse);Dunes;Bryophyte / lichen;;2.1c;;;;;;;;;;exacte;;à illustrer;2 - Complémentaire
Tortella squarrosa;Tortella squarrosa (mousse);Dunes;Bryophyte / lichen;;2.1a, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.1h;;;;;;;;;;exacte;;à illustrer;1 - Essentiel
Trifolium dubium;Trèfle douteux;Dunes;Flore vasculaire;;2.2b;;;https://api.tela-botanica.org/img:000045959CRS.jpg;https://api.tela-botanica.org/img:000157999CRS.jpg;;;;;;exacte;;à illustrer;3 - Contexte
Trifolium ornithopodioides;Trèfle pied-d'oiseau;Dunes;Flore vasculaire;;2.6b;;;https://api.tela-botanica.org/img:000331908L.jpg;https://api.tela-botanica.org/img:002501162CRS.jpg;;;;;;exacte;;à illustrer;3 - Contexte
Trifolium scabrum;Trèfle scabre;Dunes;Flore vasculaire;;2.1a;;;https://api.tela-botanica.org/img:000304695L.jpg;https://api.tela-botanica.org/img:000754788CRS.jpg;https://api.tela-botanica.org/img:000048685CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Trifolium suffocatum;Trèfle étouffé;Dunes;Flore vasculaire;;2.1g, 2.6b;;;https://api.tela-botanica.org/img:000261987CRS.jpg;https://api.tela-botanica.org/img:000261992CRS.jpg;https://api.tela-botanica.org/img:001343041L.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Triglochin bulbosum subsp. barrelieri;Troscart bulbeux;Prés salés;Flore vasculaire;13, 15;;7199;https://api.tela-botanica.org/img:000185874O.jpg;https://api.tela-botanica.org/img:000059885O.jpg;https://api.tela-botanica.org/img:001219907O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Triglochin maritima;Troscart maritime;Prés salés;Flore vasculaire;4, 5, 7, 11, 12, 14;;7202;https://api.tela-botanica.org/img:000022693O.jpg;https://api.tela-botanica.org/img:000080242O.jpg;https://api.tela-botanica.org/img:000246058L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Ulex europaeus subsp. europaeus;Ajonc d'Europe;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:003313812L.jpg;https://api.tela-botanica.org/img:002848165L.jpg;https://api.tela-botanica.org/img:002848164L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Urtica dioica;Grande ortie;Dunes;Flore vasculaire;;2.5a, 2.5b;;https://api.tela-botanica.org/img:003507457L.jpg;https://api.tela-botanica.org/img:003507458L.jpg;https://api.tela-botanica.org/img:003507459L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Valerianella locusta;Mâche doucette;Dunes;Flore vasculaire;;2.1a, 2.1b;;;https://api.tela-botanica.org/img:002871021CRS.jpg;https://api.tela-botanica.org/img:000072378CRS.jpg;;;;;;exacte;;à illustrer;2 - Complémentaire
Verbascum nigrum subsp. nigrum;Molène noire;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000211227L.jpg;https://api.tela-botanica.org/img:000211229CRS.jpg;;;;;;absent du xlsx;;;
Verbascum thapsus;Bouillon blanc;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000346932L.jpg;https://api.tela-botanica.org/img:000068382CRS.jpg;https://api.tela-botanica.org/img:000068383CRS.jpg;;;;;absent du xlsx;;;
Verbena officinalis;Verveine officinale;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000133025L.jpg;https://api.tela-botanica.org/img:000039363CRS.jpg;https://api.tela-botanica.org/img:000039362CRS.jpg;https://api.tela-botanica.org/img:000039364CRS.jpg;;;;absent du xlsx;;;
Veronica arvensis;Véronique des champs;Dunes;Flore vasculaire;;2.1a, 2.1d, 2.1f, 2.1g, 2.1h, 2.2b;;;https://api.tela-botanica.org/img:000119046L.jpg;https://api.tela-botanica.org/img:000066059CRS.jpg;https://api.tela-botanica.org/img:000196320CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Vicia sativa subsp. segetalis;Vesce des moissons;Dunes;Flore vasculaire;;2.2a;;;https://api.tela-botanica.org/img:000034939L.jpg;https://api.tela-botanica.org/img:000021911CRS.jpg;https://api.tela-botanica.org/img:000317606CRS.jpg;;;;;absent du xlsx;;;
Viola kitaibeliana;Pensée de Kitaibel;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1f;;;https://api.tela-botanica.org/img:000034641L.jpg;https://api.tela-botanica.org/img:000043263CRS.jpg;https://api.tela-botanica.org/img:000010844CRS.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Vulpia myuros;Vulpie queue-de-rat;Dunes;Flore vasculaire;;2.6b;;;https://api.tela-botanica.org/img:000017512L.jpg;https://api.tela-botanica.org/img:000080458CRS.jpg;https://api.tela-botanica.org/img:000159890CRS.jpg;;;;;absent du xlsx;;;
Vulpia sp.;Vulpie (non déterminée);Dunes;Flore vasculaire;;2.5c;;https://api.tela-botanica.org/img:003242866L.jpg;https://api.tela-botanica.org/img:003242867L.jpg;https://api.tela-botanica.org/img:002429606L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Zostera noltii;Zostère naine;Prés salés;Flore vasculaire;1;;7600;https://api.tela-botanica.org/img:002085350O.jpg;https://api.tela-botanica.org/img:002085419O.jpg;https://api.tela-botanica.org/img:002186281L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
