Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Euphorbia portlandica;Euphorbe de Portland;car/freq;7;9, 10, 12, 14, 16, 17, 18;;https://api.tela-botanica.org/img:002545481L.jpg;https://api.tela-botanica.org/img:002545482L.jpg;https://api.tela-botanica.org/img:002338380L.jpg;
Sanguisorba minor subsp. minor;Petite pimprenelle;car/freq;8;9, 10, 11, 12, 13, 14, 18, 19;;https://api.tela-botanica.org/img:000092090L.jpg;https://api.tela-botanica.org/img:000092091L.jpg;https://api.tela-botanica.org/img:000035625L.jpg;
Koeleria glauca;Koelérie glauque;car/freq;7;9, 10, 11, 12, 13, 14, 19;;https://api.tela-botanica.org/img:000015475L.jpg;https://api.tela-botanica.org/img:000015476L.jpg;;
Thymus drucei;Thym de Bretagne;freq/car;8;9, 10, 11, 12, 13, 14, 15, 28;;https://api.tela-botanica.org/img:002445260L.jpg;https://api.tela-botanica.org/img:002445261L.jpg;https://api.tela-botanica.org/img:002445262L.jpg;
Veronica arvensis;Véronique des champs;freq;6;9, 12, 14, 15, 16, 19;;https://api.tela-botanica.org/img:003471690L.jpg;https://api.tela-botanica.org/img:003471691L.jpg;https://api.tela-botanica.org/img:003471692L.jpg;
Geranium molle;Géranium à feuilles molles;freq/car;12;9, 10, 12, 14, 15, 16, 18, 19, 23, 24, 25, 28;;https://api.tela-botanica.org/img:002301697L.jpg;https://api.tela-botanica.org/img:002301698L.jpg;https://api.tela-botanica.org/img:002301699L.jpg;
Lamium amplexicaule subsp. amplexicaule;Lamier amplexicaule;freq;5;9, 10, 11, 12, 14;;https://api.tela-botanica.org/img:002430446L.jpg;https://api.tela-botanica.org/img:002430447L.jpg;https://api.tela-botanica.org/img:002430448L.jpg;
Viola kitaibeliana;Pensée de Kitaibel;freq;5;9, 10, 11, 12, 14;;https://api.tela-botanica.org/img:003429709L.jpg;https://api.tela-botanica.org/img:002467298L.jpg;https://api.tela-botanica.org/img:002467299L.jpg;
Helichrysum stoechas subsp. stoechas;Immortelle des dunes;car/freq;6;9, 10, 11, 12, 13, 14;;https://api.tela-botanica.org/img:002919260L.jpg;https://api.tela-botanica.org/img:002919261L.jpg;https://api.tela-botanica.org/img:002919262L.jpg;
Erodium lebelii;Bec-de-grue de Lebel;freq;2;9, 10;;https://api.tela-botanica.org/img:003441534L.jpg;https://api.tela-botanica.org/img:002564654L.jpg;https://api.tela-botanica.org/img:002564655L.jpg;
Tortella squarrosa;Tortella squarrosa (mousse);freq/car;7;9, 11, 12, 13, 14, 15, 16;;;;;
Bupleurum baldense subsp. baldense;Buplèvre du mont Baldo;freq;3;9, 13, 14;;https://api.tela-botanica.org/img:002922951L.jpg;https://api.tela-botanica.org/img:002922952L.jpg;https://api.tela-botanica.org/img:002922953L.jpg;
Homalothecium lutescens;Homalothecium lutescens (mousse);freq;8;9, 10, 12, 14, 16, 18, 19, 28;;;;;
Rosa pimpinellifolia;Rosier pimprenelle;car/freq;7;9, 10, 12, 14, 18, 19, 20;;https://api.tela-botanica.org/img:002567007L.jpg;https://api.tela-botanica.org/img:002567008L.jpg;https://api.tela-botanica.org/img:002567009L.jpg;
Asperula cynanchica;Aspérule à l'esquinancie;car/freq;6;9, 10, 11, 12, 13, 14;;https://api.tela-botanica.org/img:000824772L.jpg;https://api.tela-botanica.org/img:000824773L.jpg;https://api.tela-botanica.org/img:000081317L.jpg;
Valerianella locusta;Mâche doucette;freq;2;9, 10;;https://api.tela-botanica.org/img:003413257L.jpg;https://api.tela-botanica.org/img:003413258L.jpg;https://api.tela-botanica.org/img:003413259L.jpg;
Sherardia arvensis;Rubéole des champs;freq;4;9, 19, 25, 28;;https://api.tela-botanica.org/img:003442910L.jpg;https://api.tela-botanica.org/img:003442914L.jpg;https://api.tela-botanica.org/img:003442915L.jpg;
Lichen sp.;Lichen (non déterminé);freq;3;9, 12, 14;;;;;
Senecio vulgaris;Séneçon commun;freq;8;9, 10, 11, 12, 14, 15, 16, 19;;https://api.tela-botanica.org/img:003471466L.jpg;https://api.tela-botanica.org/img:003471467L.jpg;https://api.tela-botanica.org/img:003471468L.jpg;
Saxifraga tridactylites;Saxifrage à trois doigts;freq;6;9, 11, 12, 14, 15, 28;;https://api.tela-botanica.org/img:003476912L.jpg;https://api.tela-botanica.org/img:003426024L.jpg;https://api.tela-botanica.org/img:003413710L.jpg;
Dianthus gallicus;Œillet de France;car/freq;4;9, 11, 12, 14;;https://api.tela-botanica.org/img:003506490L.jpg;https://api.tela-botanica.org/img:002957188L.jpg;https://api.tela-botanica.org/img:002957189L.jpg;
Allium sphaerocephalon;Ail à tête ronde;freq;1;9;;https://api.tela-botanica.org/img:003282147L.jpg;https://api.tela-botanica.org/img:003282148L.jpg;https://api.tela-botanica.org/img:003282149L.jpg;
Medicago minima;Luzerne naine;freq;5;9, 13, 14, 15, 16;;https://api.tela-botanica.org/img:003466113L.jpg;https://api.tela-botanica.org/img:003466114L.jpg;https://api.tela-botanica.org/img:003466115L.jpg;
Trifolium scabrum;Trèfle scabre;freq;1;9;;https://api.tela-botanica.org/img:003467792L.jpg;https://api.tela-botanica.org/img:003467793L.jpg;https://api.tela-botanica.org/img:003467794L.jpg;
Syntrichia ruralis subsp. ruraliformis;Syntrichia ruralis (mousse des dunes saupoudrées);car/freq;4;10, 11, 12, 16;;;;;
Ononis repens;Bugrane rampante;car/freq;5;10, 11, 12, 14, 18;;https://api.tela-botanica.org/img:003172100L.jpg;https://api.tela-botanica.org/img:002498009L.jpg;https://api.tela-botanica.org/img:002498010L.jpg;
Phleum arenarium;Fléole des sables;freq;2;10, 11;;https://api.tela-botanica.org/img:002930479L.jpg;https://api.tela-botanica.org/img:002453517L.jpg;https://api.tela-botanica.org/img:002453515L.jpg;
Myosotis ramosissima subsp. lebelii;Myosotis de Lebel;freq;6;10, 12, 13, 14, 18, 19;;https://api.tela-botanica.org/img:003471451L.jpg;https://api.tela-botanica.org/img:003471452L.jpg;https://api.tela-botanica.org/img:003471453L.jpg;
Jasione montana subsp. montana;Jasione des montagnes;freq;2;10, 11;;https://api.tela-botanica.org/img:002749347L.jpg;https://api.tela-botanica.org/img:002531851L.jpg;https://api.tela-botanica.org/img:002531852L.jpg;
Corynephorus canescens;Corynéphore blanchâtre;car;1;11;;https://api.tela-botanica.org/img:003181577L.jpg;https://api.tela-botanica.org/img:002433447L.jpg;https://api.tela-botanica.org/img:002433448L.jpg;
Cerastium semidecandrum subsp. semidecandrum;Céraiste à cinq étamines;freq;2;11, 12;;https://api.tela-botanica.org/img:002824352L.jpg;https://api.tela-botanica.org/img:002824353L.jpg;https://api.tela-botanica.org/img:002824355L.jpg;
Silene otites subsp. otites;Silène à oreillettes;freq;1;11;;https://api.tela-botanica.org/img:000209180L.jpg;;;
