Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Scirpus maritimus;Scirpe maritime;Caractéristique + fréquente;5;4, 11, 14, 17, 19;6277;https://api.tela-botanica.org/img:000293214O.jpg;https://api.tela-botanica.org/img:000089345O.jpg;;
Sedum anglicum;Orpin d'Angleterre;Fréquente;1;13;6359;https://api.tela-botanica.org/img:000079608O.jpg;https://api.tela-botanica.org/img:000021174O.jpg;;
Silene vulgaris subsp. maritima;Silène maritime;Fréquente;1;13;6611;https://api.tela-botanica.org/img:000090733L.jpg;https://api.tela-botanica.org/img:000014275O.jpg;https://api.tela-botanica.org/img:000054564O.jpg;
Sonchus oleraceus;Laiteron potager;Fréquente;1;17;6688;https://api.tela-botanica.org/img:000017510O.jpg;https://api.tela-botanica.org/img:000042729O.jpg;https://api.tela-botanica.org/img:000045459O.jpg;
Spartina maritima;Spartine maritime;Caractéristique + fréquente;3;2, 3, 6;6712;https://api.tela-botanica.org/img:000089400L.jpg;https://api.tela-botanica.org/img:000063794O.jpg;https://api.tela-botanica.org/img:000063792CRS.jpg;
Spartina x townsendii var. anglica;Spartine d'Angleterre;Fréquente;3;3, 6, 7;6714;https://api.tela-botanica.org/img:002322664O.jpg;https://api.tela-botanica.org/img:002537317O.jpg;https://api.tela-botanica.org/img:002537318O.jpg;
Spergularia marina;Spergulaire marine;Caractéristique;1;15;6724;https://api.tela-botanica.org/img:000084718O.jpg;https://api.tela-botanica.org/img:000181435O.jpg;https://api.tela-botanica.org/img:000788617L.jpg;
Spergularia media;Spergulaire intermédiaire;Fréquente;8;3, 4, 5, 7, 9, 12, 13, 14;6726;https://api.tela-botanica.org/img:000263958L.jpg;https://api.tela-botanica.org/img:000055117O.jpg;https://api.tela-botanica.org/img:000185079L.jpg;
Suaeda maritima;Soude maritime;Caractéristique + fréquente;11;3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15;6802;https://api.tela-botanica.org/img:000058665O.jpg;https://api.tela-botanica.org/img:000047941O.jpg;https://api.tela-botanica.org/img:002335325L.jpg;https://api.tela-botanica.org/img:000044666O.jpg
Suaeda vera;Soude ligneuse;Caractéristique + fréquente;4;4, 5, 8, 13;6806;https://api.tela-botanica.org/img:000346280O.jpg;https://api.tela-botanica.org/img:000044665O.jpg;https://api.tela-botanica.org/img:000044664O.jpg;
Thelypteris palustris;Théliptéris des marais;Fréquente;1;14;6998;https://api.tela-botanica.org/img:002332940O.jpg;https://api.tela-botanica.org/img:000063530O.jpg;;
Triglochin bulbosum subsp. barrelieri;Troscart bulbeux;Fréquente;2;13, 15;7199;https://api.tela-botanica.org/img:000185874O.jpg;https://api.tela-botanica.org/img:000059885O.jpg;https://api.tela-botanica.org/img:001219907O.jpg;
Triglochin maritima;Troscart maritime;Caractéristique + fréquente;6;4, 5, 7, 11, 12, 14;7202;https://api.tela-botanica.org/img:000022693O.jpg;https://api.tela-botanica.org/img:000080242O.jpg;https://api.tela-botanica.org/img:000246058L.jpg;
Zostera noltii;Zostère naine;Caractéristique;1;1;7600;https://api.tela-botanica.org/img:002085350O.jpg;https://api.tela-botanica.org/img:002085419O.jpg;https://api.tela-botanica.org/img:002186281L.jpg;
Zostera marina var. Angustifolia;Zostère à feuilles étroites;Caractéristique;1;1;7598;https://api.tela-botanica.org/img:002186280L.jpg;https://api.tela-botanica.org/img:002186275L.jpg;;
